Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,morris,soybeans,ks,26300.0,29300.0,330200.0,13.0
2003,morrison,soybeans,mn,22400.0,22500.0,515200.0,23.0
2003,morrow,soybeans,oh,62700.0,62800.0,2415600.0,38.5
2003,morton,soybeans,nd,1200.0,1300.0,15000.0,12.5
2003,moultrie,soybeans,il,78800.0,79000.0,3624800.0,46.0
2003,mower,soybeans,mn,176600.0,177200.0,5298000.0,30.0
2003,murray,soybeans,mn,171000.0,171700.0,6156000.0,36.0
2003,muscatine,soybeans,ia,74700.0,75000.0,2630000.0,35.2
2003,muskingum,soybeans,oh,9600.0,10100.0,346400.0,36.1
2003,nance,soybeans,ne,41700.0,43000.0,1332600.0,32.0
2003,nelson,soybeans,nd,67500.0,68000.0,1945000.0,28.8
2003,nemaha,soybeans,ks,75000.0,77800.0,1247500.0,17.0
2003,nemaha,soybeans,ne,84300.0,85000.0,3216200.0,38.2
2003,neosho,soybeans,ks,49800.0,51800.0,797300.0,16.0
2003,new madrid,soybeans,mo,152700.0,154000.0,6293000.0,41.2
2003,newton,soybeans,in,76300.0,76800.0,2447400.0,32.1
2003,newton,soybeans,mo,3000.0,3100.0,73000.0,24.3
2003,nicollet,soybeans,mn,95000.0,95400.0,3230000.0,34.0
2003,noble,soybeans,in,54700.0,55000.0,2097800.0,38.4
2003,nobles,soybeans,mn,188000.0,188900.0,6956000.0,37.0
2003,nodaway,soybeans,mo,132600.0,133900.0,4017000.0,30.3
2003,norman,soybeans,mn,164500.0,168400.0,4935000.0,30.0
2003,norton,soybeans,ks,5200.0,6500.0,148800.0,29.0
2003,nuckolls,soybeans,ne,39700.0,40000.0,1581600.0,39.8
2003,o brien,soybeans,ia,158400.0,159000.0,6437000.0,40.6
2003,ogle,soybeans,il,112900.0,114000.0,3048300.0,27.0
2003,olmsted,soybeans,mn,75000.0,75500.0,2550000.0,34.0
2003,orange,soybeans,in,17500.0,17900.0,769900.0,44.0
2003,osage,soybeans,ks,59500.0,61200.0,1160800.0,20.0
2003,osage,soybeans,mo,10800.0,11000.0,354000.0,32.8
2003,osborne,soybeans,ks,8100.0,8400.0,247100.0,31.0
2003,osceola,soybeans,ia,112500.0,113000.0,3848000.0,34.2
2003,otoe,soybeans,ne,122100.0,123000.0,3590900.0,29.4
2003,ottawa,soybeans,ks,12300.0,12600.0,207100.0,17.0
