State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Jonglei ,Ayod ,2017,corn,"1,008",565,560.4603709949411,jonglei,ayod
Jonglei ,Bor South ,2017,corn,"8,567","5,825",0.6799383688762826,jonglei,bor south
Jonglei ,Canal/Pigi ,2017,corn,"1,214",612,504.07717650934853,jonglei,canalpigi
Jonglei ,Duk ,2017,corn,"2,212","1,239",0.5601464671579042,jonglei,duk
Jonglei ,Fangak ,2017,corn,"2,336","1,308",0.559950344591413,jonglei,fangak
Jonglei ,Nyirol ,2017,corn,"4,168","2,667",0.6398838799452988,jonglei,nyirol
Jonglei ,Pibor ,2017,corn,"7,964","6,371",0.7999773985761103,jonglei,pibor
Jonglei ,Pochalla ,2017,corn,"5,994","5,275",0.8800487145693265,jonglei,pochalla
Jonglei ,Twic East ,2017,corn,"6,287","3,521",0.5600515340936203,jonglei,twic east
Jonglei ,Uror ,2017,corn,"9,034","4,698",0.5200407345502042,jonglei,uror
Lakes,Awerial ,2010,corn,"5,846","4,209",0.7199842630129487,lakes,awerial
Lakes,Cueibet ,2010,corn,"17,883","17,168",0.9600181176641632,lakes,cueibet
Lakes,Rumbek Centre ,2010,corn,"14,925","16,716",1.1199991959852866,lakes,rumbek centre
Lakes,Rumbek East ,2010,corn,"14,008","15,689",1.1200019988435264,lakes,rumbek east
Lakes,Rumbek North ,2010,corn,"4,002","4,482",1.1199370330576448,lakes,rumbek north
Lakes,Wulu ,2010,corn,"8,230","7,901",0.9600247870621256,lakes,wulu
Lakes,Yirol East ,2010,corn,"10,567","8,454",0.8000397460041071,lakes,yirol east
Lakes,Yirol West ,2010,corn,"18,016","17,296",0.9600357458051412,lakes,yirol west
Lakes,Awerial ,2011,corn,"10,323","8,258",0.7999631893520356,lakes,awerial
Lakes,Cueibet ,2011,corn,"23,025","22,104",0.9600001737234584,lakes,cueibet
Lakes,Rumbek Centre ,2011,corn,"10,387","9,971",0.9599503229967942,lakes,rumbek centre
Lakes,Rumbek East ,2011,corn,"14,997","14,397",0.9599922651712663,lakes,rumbek east
Lakes,Rumbek North ,2011,corn,"2,748","2,198",0.7998617226447363,lakes,rumbek north
Lakes,Wulu ,2011,corn,"10,173","9,766",0.959992529317514,lakes,wulu
Lakes,Yirol East ,2011,corn,"10,884","10,449",0.9600334432796463,lakes,yirol east
Lakes,Yirol West ,2011,corn,"14,710","14,121",0.9599594836200978,lakes,yirol west
Lakes,Awerial ,2012,corn,"7,291","5,833",0.8000301737735047,lakes,awerial
Lakes,Cueibet ,2012,corn,"25,521","24,500",0.9599938874108092,lakes,cueibet
Lakes,Rumbek Centre ,2012,corn,"14,409","12,680",0.8800063848540158,lakes,rumbek centre
Lakes,Rumbek East ,2012,corn,"17,490","16,790",0.9599773586200192,lakes,rumbek east
Lakes,Rumbek North ,2012,corn,"3,972","3,178",0.8001057375191964,lakes,rumbek north
Lakes,Wulu ,2012,corn,"11,565","11,103",0.9600522260940244,lakes,wulu
Lakes,Yirol East ,2012,corn,"13,540","11,916",0.8800599700149926,lakes,yirol east
Lakes,Yirol West ,2012,corn,"22,965","20,209",0.8799918136650831,lakes,yirol west
Lakes,Awerial ,2013,corn,"13,910","11,128",0.8000014378041854,lakes,awerial
Lakes,Cueibet ,2013,corn,"25,843","24,809",0.9599893201666984,lakes,cueibet
Lakes,Rumbek Centre ,2013,corn,"13,257","11,666",0.8799888361708066,lakes,rumbek centre
Lakes,Rumbek East ,2013,corn,"18,678","17,931",0.9600066387908834,lakes,rumbek east
Lakes,Rumbek North ,2013,corn,"4,269","4,098",0.9599447190274296,lakes,rumbek north
Lakes,Wulu ,2013,corn,"10,516","9,254",0.8799935337244795,lakes,wulu
Lakes,Yirol East ,2013,corn,"14,493","12,753",0.8799428693654221,lakes,yirol east
Lakes,Yirol West ,2013,corn,"23,566","20,738",0.8799971144992171,lakes,yirol west
Lakes,Awerial ,2014,corn,"5,846","4,209",0.7199842630129487,lakes,awerial
Lakes,Cueibet ,2014,corn,"17,883","17,168",0.9600181176641632,lakes,cueibet
Lakes,Rumbek Centre ,2014,corn,"14,925","16,716",1.1199991959852866,lakes,rumbek centre
Lakes,Rumbek East ,2014,corn,"14,008","15,689",1.1200019988435264,lakes,rumbek east
Lakes,Rumbek North ,2014,corn,"4,002","4,482",1.1199370330576448,lakes,rumbek north
Lakes,Wulu ,2014,corn,"8,230","7,901",0.9600247870621256,lakes,wulu
Lakes,Yirol East ,2014,corn,"10,567","8,454",0.8000397460041071,lakes,yirol east
Lakes,Yirol West ,2014,corn,"18,016","17,296",0.9600357458051412,lakes,yirol west
Lakes,Awerial ,2015,corn,"10,323","8,258",0.7999631893520356,lakes,awerial
Lakes,Cueibet ,2015,corn,"23,025","22,104",0.9600001737234584,lakes,cueibet
Lakes,Rumbek Centre ,2015,corn,"10,387","9,971",0.9599503229967942,lakes,rumbek centre
